time,p_inlet,p_outlet,delta_p
0.002,221.503,29.4443,192.0587
0.004,10.2697,1.28821,8.98149
0.006,9.66622,1.22565,8.44057
0.008,8.57966,1.08848,7.491180000000001
0.01,7.82215,0.991153,6.830997
0.012,7.27653,0.920537,6.355993
0.014,6.87308,0.868023,6.005057
0.016,6.56772,0.827991,5.739729
0.018,6.33105,0.79727,5.53378
0.02,6.14491,0.77273,5.37218
0.022,5.99602,0.753038,5.242982
0.024,5.87532,0.737016,5.138304000000001
0.026,5.7764,0.723822,5.052578
0.028,5.69459,0.712857,4.981733
0.03,5.62645,0.703675,4.922775
0.032,5.5694,0.695944,4.873456
0.034,5.52133,0.689391,4.831939
0.036,5.48069,0.683821,4.796869
0.038,5.44622,0.679068,4.767152
0.04,5.41692,0.675002,4.741918
0.042,5.39197,0.67152,4.72045
0.044,5.37068,0.668531,4.702149
0.046,5.3525,0.665963,4.686537
0.048,5.33697,0.663755,4.673215
0.05,5.32369,0.661857,4.661833
0.052,5.31233,0.660224,4.652106
0.054,5.30261,0.658819,4.643790999999999
0.056,5.29431,0.65761,4.6367
0.058,5.28721,0.656571,4.630639
0.06,5.28114,0.655678,4.625462
0.062,5.27595,0.654911,4.621039
0.064,5.27153,0.654252,4.617278000000001
0.066,5.26775,0.653682,4.6140680000000005
0.068,5.26454,0.653196,4.611344
0.07,5.2618,0.652782,4.609018
0.072,5.25948,0.652426,4.607054
0.074,5.2575,0.652123,4.605377000000001
0.076,5.25582,0.651795,4.604025
0.078,5.25441,0.651641,4.602769
0.08,5.25323,0.651439,4.601791
0.082,5.25222,0.651278,4.600942
0.084,5.25076,0.651049,4.599710999999999
0.086,5.25057,0.650989,4.599581
0.088,5.2497,0.650865,4.598834999999999
0.09,5.24943,0.650824,4.598606
0.092,5.24893,0.650733,4.598197
0.094,5.2487,0.650699,4.598001
0.096,5.24841,0.650632,4.597778
0.098,5.24821,0.650617,4.597593
0.1,5.24804,0.650584,4.597455999999999
0.102,5.24791,0.650562,4.597348
0.104,5.24793,0.650554,4.597376000000001
0.106,5.24747,0.65048,4.59699
0.108,5.24777,0.650525,4.597245
0.11,5.24749,0.650472,4.597018
0.112,5.24756,0.650485,4.597075
0.114,5.24759,0.650478,4.597112
0.116,5.24738,0.650432,4.596947999999999
0.118,5.24745,0.650448,4.597002
0.12,5.2475,0.650447,4.597053
0.122,5.24754,0.650452,4.597087999999999
0.124,5.24738,0.650413,4.596966999999999
0.126,5.24744,0.650413,4.597027
0.128,5.2475,0.650421,4.597079
0.13,5.24752,0.650432,4.597087999999999
0.132,5.24755,0.65041,4.5971400000000004
0.134,5.24741,0.650389,4.597021000000001
0.136,5.24744,0.650391,4.597049
0.138,5.24753,0.650385,4.597145
0.14,5.24754,0.650406,4.597134
0.142,5.2476,0.650387,4.597213
0.144,5.24758,0.650396,4.597184
0.146,5.24758,0.650372,4.597208
0.148,5.24749,0.650359,4.597131
0.15,5.2475,0.650365,4.597135
0.152,5.24773,0.650384,4.597346
0.154,5.24747,0.650331,4.597139
0.156,5.24775,0.650391,4.597359
0.158,5.24741,0.650307,4.597103000000001
0.16,5.24768,0.65038,4.5973
0.162,5.24757,0.650319,4.597251
0.164,5.24761,0.650336,4.597274
0.166,5.24763,0.650344,4.597286
0.168,5.24766,0.650332,4.597328
0.17,5.24766,0.650334,4.597326
0.172,5.24766,0.650338,4.597322
0.174,5.24766,0.650325,4.597334999999999
0.176,5.24754,0.650294,4.597246
0.178,5.2476,0.65031,4.59729
0.18,5.24761,0.650315,4.597295
0.182,5.24768,0.650312,4.5973679999999995
0.184,5.24767,0.650313,4.597357000000001
0.186,5.24767,0.650315,4.597355
0.188,5.24767,0.650316,4.597354
0.19,5.24768,0.650313,4.597367
0.192,5.24768,0.65031,4.59737
0.194,5.24768,0.650304,4.597376
0.196,5.24763,0.650289,4.597341
0.198,5.24763,0.65029,4.59734
0.2,5.24763,0.65029,4.59734
0.202,5.24764,0.650289,4.597351
0.204,5.24764,0.650292,4.597347999999999
0.206,5.24765,0.650287,4.5973630000000005
0.208,5.24765,0.650285,4.597365
0.21,5.24765,0.650284,4.597366
0.212,5.24766,0.650284,4.597376
0.214,5.24766,0.650284,4.597376
0.216,5.24767,0.650284,4.597386
0.218,5.24767,0.650284,4.597386
0.22,5.24767,0.650282,4.5973880000000005
0.222,5.24768,0.650282,4.597398
0.224,5.24768,0.650281,4.597399
0.226,5.24768,0.650281,4.597399
0.228,5.24768,0.65028,4.5974
0.23,5.24768,0.650279,4.597401
0.232,5.24768,0.650279,4.597401
0.234,5.24768,0.650278,4.597402
0.236,5.24768,0.650278,4.597402
0.238,5.24768,0.650278,4.597402
0.24,5.24769,0.650277,4.597413
0.242,5.24769,0.650275,4.597415000000001
0.244,5.24769,0.650275,4.597415000000001
0.246,5.24769,0.650275,4.597415000000001
0.248,5.24769,0.650273,4.597417
0.25,5.24769,0.650274,4.597416000000001
0.252,5.24769,0.650273,4.597417
0.254,5.24769,0.650273,4.597417
0.256,5.24768,0.650272,4.597408
0.258,5.24768,0.650272,4.597408
0.26,5.24768,0.650272,4.597408
0.262,5.24768,0.650272,4.597408
0.264,5.24768,0.650271,4.597409
0.266,5.24748,0.65022,4.59726
0.268,5.24766,0.650269,4.597391
0.27,5.24766,0.650271,4.597389
0.272,5.24766,0.650268,4.597392
0.274,5.24766,0.650268,4.597392
0.276,5.24766,0.650264,4.597396
0.278,5.24766,0.650264,4.597396
0.28,5.24766,0.650264,4.597396
0.282,5.24766,0.650264,4.597396
0.284,5.24766,0.650264,4.597396
0.286,5.24767,0.650266,4.597404
0.288,5.24767,0.650266,4.597404
0.29,5.24767,0.650266,4.597404
0.292,5.24767,0.650266,4.597404
0.294,5.24767,0.650266,4.597404
0.296,5.24767,0.650265,4.597405
0.298,5.24767,0.650265,4.597405
0.3,5.24767,0.650265,4.597405
0.302,5.24767,0.650265,4.597405
0.304,5.24767,0.650265,4.597405
0.306,5.24767,0.650265,4.597405
0.308,5.24767,0.650266,4.597404
0.31,5.24767,0.650265,4.597405
0.312,5.24767,0.650265,4.597405
0.314,5.24767,0.650266,4.597404
0.316,5.24767,0.650266,4.597404
0.318,5.24767,0.650266,4.597404
0.32,5.24767,0.650266,4.597404
0.322,5.24767,0.650266,4.597404
0.324,5.24767,0.650266,4.597404
0.326,5.24767,0.650266,4.597404
0.328,5.24767,0.650266,4.597404
0.33,5.24767,0.650266,4.597404
0.332,5.24767,0.650266,4.597404
0.334,5.24767,0.650266,4.597404
0.336,5.24767,0.650266,4.597404
0.338,5.24767,0.650266,4.597404
0.34,5.24767,0.650266,4.597404
0.342,5.24767,0.650266,4.597404
0.344,5.24767,0.650266,4.597404
0.346,5.24767,0.650266,4.597404
0.348,5.24767,0.650266,4.597404
0.35,5.24767,0.650266,4.597404
0.352,5.24767,0.650266,4.597404
0.354,5.24767,0.650266,4.597404
0.356,5.24767,0.650266,4.597404
0.358,5.24767,0.650266,4.597404
0.36,5.24767,0.650266,4.597404
0.362,5.24767,0.650266,4.597404
0.364,5.24767,0.650266,4.597404
0.366,5.24767,0.650266,4.597404
0.368,5.24767,0.650266,4.597404
0.37,5.24767,0.650266,4.597404
0.372,5.24767,0.650266,4.597404
0.374,5.24767,0.650266,4.597404
0.376,5.24767,0.650266,4.597404
0.378,5.24767,0.650266,4.597404
0.38,5.24767,0.650266,4.597404
0.382,5.24767,0.650266,4.597404
0.384,5.24767,0.650266,4.597404
0.386,5.24767,0.650266,4.597404
0.388,5.24767,0.650266,4.597404
0.39,5.24767,0.650266,4.597404
0.392,5.24767,0.650265,4.597405
0.394,5.24767,0.650265,4.597405
0.396,5.24767,0.650266,4.597404
0.398,5.24767,0.650266,4.597404
0.4,5.24767,0.650265,4.597405
0.402,5.24767,0.650265,4.597405
0.404,5.24767,0.650266,4.597404
0.406,5.24767,0.650266,4.597404
0.408,5.24767,0.650266,4.597404
0.41,5.24767,0.650266,4.597404
0.412,5.24767,0.650266,4.597404
0.414,5.24767,0.650266,4.597404
0.416,5.24767,0.650266,4.597404
0.418,5.24767,0.650266,4.597404
0.42,5.24767,0.650266,4.597404
0.422,5.24767,0.650265,4.597405
0.424,5.24767,0.650265,4.597405
0.426,5.24767,0.650267,4.597403
0.428,5.24767,0.650267,4.597403
0.43,5.24767,0.650265,4.597405
0.432,5.24767,0.650265,4.597405
0.434,5.24767,0.650266,4.597404
0.436,5.24767,0.650266,4.597404
0.438,5.24767,0.650266,4.597404
0.44,5.24767,0.650266,4.597404
0.442,5.24767,0.650266,4.597404
0.444,5.24767,0.650266,4.597404
0.446,5.24767,0.650266,4.597404
0.448,5.24767,0.650266,4.597404
0.45,5.24767,0.650266,4.597404
0.452,5.24767,0.650266,4.597404
0.454,5.24767,0.650267,4.597403
0.456,5.24767,0.650267,4.597403
0.458,5.24767,0.650265,4.597405
0.46,5.24767,0.650265,4.597405
0.462,5.24767,0.650265,4.597405
0.464,5.24767,0.650267,4.597403
0.466,5.24767,0.650267,4.597403
0.468,5.24767,0.650265,4.597405
0.47,5.24767,0.650265,4.597405
0.472,5.24767,0.650266,4.597404
0.474,5.24767,0.650266,4.597404
0.476,5.24767,0.650266,4.597404
0.478,5.24767,0.650266,4.597404
0.48,5.24767,0.650266,4.597404
0.482,5.24767,0.650266,4.597404
0.484,5.24767,0.650266,4.597404
0.486,5.24767,0.650266,4.597404
0.488,5.24767,0.650265,4.597405
0.49,5.24767,0.650265,4.597405
0.492,5.24767,0.650266,4.597404
0.494,5.24767,0.650266,4.597404
0.496,5.24767,0.650265,4.597405
0.498,5.24767,0.650265,4.597405
0.5,5.24767,0.650266,4.597404
